Category,Player,Line,Prediction,Prob,Result,Date
Assists,Pascal Siakam,4.0,OVER,0.4469964664310954,4.865835666656494,01-05-2024
Points,Paolo Banchero,26.5,UNDER,0.4869281045751634,22.174318313598633,01-05-2024
Pts+Asts,Anthony Davis,32.5,UNDER,0.518910741301059,27.740394592285156,01-05-2024
Pts+Asts,Paolo Banchero,32.5,UNDER,0.518910741301059,27.695417404174805,01-05-2024
Pts+Rebs,Anthony Davis,42.5,UNDER,0.5203619909502263,36.81619644165039,01-05-2024
Pts+Rebs,Bradley Beal,26.5,UNDER,0.5203619909502263,21.206571578979492,01-05-2024
Rebounds,Kyrie Irving,6.5,UNDER,0.5442404006677797,4.740907192230225,01-05-2024
Rebounds,Derrick Jones Jr.,6.0,UNDER,0.5442404006677797,3.995939016342163,01-05-2024
Assists,Reggie Jackson,3.5,OVER,0.5812720848056537,5.13551664352417,01-05-2024
Points,Bradley Beal,22.5,UNDER,0.5816993464052288,16.943580627441406,01-05-2024
Points,Anthony Davis,29.0,UNDER,0.5816993464052288,23.638002395629883,01-05-2024
Pts+Asts,LeBron James,36.0,UNDER,0.6111951588502269,29.75673484802246,01-05-2024
Points,Reggie Jackson,8.5,OVER,0.6160130718954249,14.738007545471191,01-05-2024
Rebounds,Anthony Davis,13.5,UNDER,0.657762938230384,11.084856033325195,01-05-2024
Assists,Kyrie Irving,7.0,UNDER,0.6943462897526502,4.775070667266846,01-05-2024
Pts+Asts,Bradley Beal,27.5,UNDER,0.7216338880484114,19.815908432006836,01-05-2024
Pts+Rebs,Kyrie Irving,36.5,UNDER,0.7616892911010558,27.33222007751465,01-05-2024
Points,Kyrie Irving,30.5,UNDER,0.8415032679738562,21.186426162719727,01-05-2024
Pts+Asts,Kyrie Irving,37.5,UNDER,0.8789712556732224,26.500362396240234,01-05-2024
